"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Create New Block","Create New Block"
"All Store Views","All Store Views"
"Are you sure you want to delete selected blocks?","Are you sure you want to delete selected blocks?"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Block position","Block position"
"Block was successfully deleted.","Block was successfully deleted."
"Block was successfully saved","Block was successfully saved"
"Catalog Pages","Catalog Pages"
"Category","Category"
"Checkout","Checkout"
"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Content","Content"
"Content top","Content top"
"Create New Block","Create New Block"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Custom Static Blocks by aheadWorks","Custom Static Blocks by aheadWorks"
"Delete","Delete"
"Delete blocks","Delete blocks"
"Disabled","Disabled"
"Display Block","Display Block"
"Edit","Edit"
"Edit Block","Edit Block"
"Enabled","Enabled"
"Even days of the month","Even days of the month"
"Every day","Every day"
"From Date","From Date"
"From Monday to Friday","From Monday to Friday"
"From Monday to Saturday","From Monday to Saturday"
"From Time","From Time"
"From Tuesday to Friday","From Tuesday to Friday"
"General","General"
"General Information","General Information"
"Get Support","Get Support"
"Home Page","Home Page"
"Manage Blocks","Manage Blocks"
"Menu Bottom","Menu Bottom"
"Menu Top","Menu Top"
"Name","Name"
"New Block","New Block"
"Odd days of the month","Odd days of the month"
"On 1","On 1"
"On 1, 11, 21, and 31st of the month","On 1, 11, 21, and 31st of the month"
"On 1, 11, and 21st of the month","On 1, 11, and 21st of the month"
"On 2","On 2"
"On 3","On 3"
"On 4","On 4"
"On 5","On 5"
"On 6","On 6"
"On 7","On 7"
"On 8","On 8"
"On 9","On 9"
"On 10","On 10"
"On 10, 20, and 30th of the month","On 10, 20, and 30th of the month"
"On 11","On 11"
"On 12","On 12"
"On 13","On 13"
"On 14","On 14"
"On 15","On 15"
"On 16","On 16"
"On 17","On 17"
"On 18","On 18"
"On 19","On 19"
"On 20","On 20"
"On 21","On 21"
"On 22","On 22"
"On 23","On 23"
"On 24","On 24"
"On 25","On 25"
"On 26","On 26"
"On 27","On 27"
"On 28","On 28"
"On 29","On 29"
"On 30","On 30"
"On 31","On 31"
"On Fridays","On Fridays"
"On Mondays","On Mondays"
"On Mondays, Wednesdays, and Fridays","On Mondays, Wednesdays, and Fridays"
"On Saturdays","On Saturdays"
"On Saturdays and Sundays","On Saturdays and Sundays"
"On Sundays","On Sundays"
"On Thursdays","On Thursdays"
"On Tuesdays","On Tuesdays"
"On Tuesdays, Thursdays, and Saturdays","On Tuesdays, Thursdays, and Saturdays"
"On the last day of month","On the last day of month",
"On Wednesdays","On Wednesdays"
"Page bottom","Page bottom"
"Please specify products where the block should be displayed. Leave blank to display the block on all product pages.","Please specify products where the block should be displayed. Leave blank to display the block on all product pages."
"Please specify categories where the block should be displayed. Leave blank to display the block on all category pages.","Please specify categories where the block should be displayed. Leave blank to display the block on all category pages."
"Position","Position"
"Product Attributes","Product Attributes"
"Product Pages","Product Pages"
"Readme","Readme"
"Remove","Remove"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Save as New","Save as New"
"Schedule","Schedule"
"Schedule Pattern","Schedule Pattern"
"Select...","Select..."
"Shopping Cart","Shopping Cart"
"Show","Show"
"Sidebar bottom","Sidebar bottom"
"Sidebar top","Sidebar top"
"Something went wrong while saving the block.","Something went wrong while saving the block."
"Static Block","Static Block"
"Static Blocks","Static Blocks"
"Status","Status"
"Store View","Store View"
"This block no longer exists.","This block no longer exists."
"To Date","To Date"
"To Time","To Time"
"Where to Display","Where to Display"
