"Get a Quote Requests","Get a Quote Requests"
"Send Email","Send Email"
Back,Back
Delete,Delete
"You are about to delete this request. Are you sure you want to do that?","You are about to delete this request. Are you sure you want to do that?"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Customer Phone","Customer Phone"
Product,Product
Store,Store
Created,Created
Status,Status
Comment,Comment
"Admin Answer Text","Admin Answer Text"
"Customer Group Catalog Rules","Customer Group Catalog Rules"
"Add New Rule","Add New Rule"
"Delete Rule","Delete Rule"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Customer Conditions","Customer Conditions"
Conditions,Conditions
"Apply To","Apply To"
"Product Conditions","Product Conditions"
"Amasty Groupcat","Amasty Groupcat"
Requests,Requests
"Request was deleted.","Request was deleted."
"Can't delete item right now. Please review the log and try again.","Can't delete item right now. Please review the log and try again."
"Can't find a item to delete.","Can't find a item to delete."
"This request no longer exists.","This request no longer exists."
"Get a Quote Request from ","Get a Quote Request from "
"Please select items.","Please select items."
"Get a Quote requests are deleted.","Get a Quote requests are deleted."
"Can't delete items right now. Please review the log and try again.","Can't delete items right now. Please review the log and try again."
"Please enter a Email Text.","Please enter a Email Text."
"Email Answer was sent.","Email Answer was sent."
"Please select request id.","Please select request id."
"The rule is deleted.","The rule is deleted."
"This rule no longer exists.","This rule no longer exists."
"Manage Customer Group Catalog Rule","Manage Customer Group Catalog Rule"
"New Customer Group Catalog Rule","New Customer Group Catalog Rule"
"Edit Customer Group Catalog Rule","Edit Customer Group Catalog Rule"
"Amasty Customer Group Catalog Rules","Amasty Customer Group Catalog Rules"
"The rule is saved.","The rule is saved."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Sorry. There is a problem with Your Quote Request. Please try again or use Contact Us link in the menu.","Sorry. There is a problem with Your Quote Request. Please try again or use Contact Us link in the menu."
"Thanks for contacting us. We'll respond to you as soon as possible. ","Thanks for contacting us. We'll respond to you as soon as possible. "
"For request sending you have to agree with our privacy policy.","For request sending you have to agree with our privacy policy."
"Form key is not valid. Please try to reload the page.","Form key is not valid. Please try to reload the page."
"Please enter a valid email address.","Please enter a valid email address."
"Please enter a name.","Please enter a name."
"Please enter a phone.","Please enter a phone."
"There are no product for your request.","There are no product for your request."
"Unable to save request with ID %1. Error: %2","Unable to save request with ID %1. Error: %2"
"Unable to save new request. Error: %1","Unable to save new request. Error: %1"
"Request with specified ID ""%1"" not found.","Request with specified ID ""%1"" not found."
"Unable to remove request with ID %1. Error: %2","Unable to remove request with ID %1. Error: %2"
"Unable to remove request rule. Error: %1","Unable to remove request rule. Error: %1"
"End Date must follow Start Date.","End Date must follow Start Date."
"End Price must follow Start Price.","End Price must follow Start Price."
"Please specify a store.","Please specify a store."
"Please specify Customer Groups.","Please specify Customer Groups."
"Base Price","Base Price"
"Final Price","Final Price"
"Starting from Price","Starting from Price"
"Starting to Price","Starting to Price"
"Customer ID","Customer ID"
"Conditions Combination","Conditions Combination"
"Customer attributes","Customer attributes"
"Show 404 page","Show 404 page"
"Redirect to CMS page","Redirect to CMS page"
No,No
Yes,Yes
"Replace with text","Replace with text"
"Replace to request form","Replace to request form"
"Does not matter","Does not matter"
"Out of Stock","Out of Stock"
"In Stock","In Stock"
"Unable to save rule with ID %1. Error: %2","Unable to save rule with ID %1. Error: %2"
