"Quick Order","Quick Order"
"Generate search data successfully.","Generate search data successfully."
"You have added too many products to the cart at a time. Please reduce products","You have added too many products to the cart at a time. Please reduce products"
"Something went wrong when adding "" . . "" to cart. Please check it again.","Something went wrong when adding "" . . "" to cart. Please check it again."
"Added products to cart successfully!","Added products to cart successfully!"
"Something went wrong when adding product to cart. Please check it again.","Something went wrong when adding product to cart. Please check it again."
"Cannot generate data for store %1 and customer group %2, %3","Cannot generate data for store %1 and customer group %2, %3"
"Top menu","Top menu"
"Footer link","Footer link"
"Next to Search Box","Next to Search Box"
"Add to cart","Add to cart"
Checkout,Checkout
Item(s),Item(s)
SKU(s),SKU(s)
Qty,Qty
Subtotal,Subtotal
Action,Action
"Add Multiple Products","Add Multiple Products"
"Price: ","Price: "
"Sku: ","Sku: "
"Enter multiple SKUs","Enter multiple SKUs"
"Format: SKU,qty,option1,option2","Format: SKU,qty,option1,option2"
"E.g bundle product: 24-WG080","E.g bundle product: 24-WG080"
"E.g simple product: 24-MB01,9","E.g simple product: 24-MB01,9"
"E.g configuration product: MH02,9,size:M,color:Red","E.g configuration product: MH02,9,size:M,color:Red"
"E.g grouped product: 24-WG085_Group","E.g grouped product: 24-WG085_Group"
"The box is empty, including existed items or items cannot be added to the list. Please try it again","The box is empty, including existed items or items cannot be added to the list. Please try it again"
"Your items have been checked and added to the list successfully","Your items have been checked and added to the list successfully"
"Add from file","Add from file"
"Upload Now","Upload Now"
"There is no file chosen, including existed items or items cannot be uploaded to the list. Please try it again","There is no file chosen, including existed items or items cannot be uploaded to the list. Please try it again"
Details...,Details...
"Option details...","Option details..."
"Item out of stock can not add to cart","Item out of stock can not add to cart"
"This item does not have enough quantity","This item does not have enough quantity"
"Cannot add to cart as quick order list is empty","Cannot add to cart as quick order list is empty"
"Please select all necessary options","Please select all necessary options"
"You entered the wrong data","You entered the wrong data"
"You have no items in your shopping cart","You have no items in your shopping cart"
"General Configuration","General Configuration"
Enable,Enable
"Select <strong>Yes</strong> to enable this module","Select <strong>Yes</strong> to enable this module"
"Route name","Route name"
"The URL should be: yourdomain.com/quick-order... If null, system will use ""quick-order"" is default value.","The URL should be: yourdomain.com/quick-order... If null, system will use ""quick-order"" is default value."
"Page Title","Page Title"
"Display on the top of website","Display on the top of website"
"Allow Customer Group","Allow Customer Group"
"Only allow these customer groups access the Quick Order page","Only allow these customer groups access the Quick Order page"
"Show Quick Order Link","Show Quick Order Link"
"Select where to display the Quick Order button","Select where to display the Quick Order button"
"Quick Order label","Quick Order label"
Search,Search
"Autosearch minimum character","Autosearch minimum character"
"The number of characters to begin search","The number of characters to begin search"
"Limit search results","Limit search results"
"The maximum number of products shown in results","The maximum number of products shown in results"
"Display product image","Display product image"
"Select Yes to display product images","Select Yes to display product images"
Design,Design
"Heading Background Color","Heading Background Color"
"Select a color for the heading background","Select a color for the heading background"
"Heading Text Color","Heading Text Color"
"Select a color for the heading text","Select a color for the heading text"
"Heading Background Button","Heading Background Button"
