"Manage Profiles","Manage Profiles"
"Create a new profile","Create a new profile"
"Run Profile Now","Run Profile Now"
"Refresh preview","Refresh preview"
Duplicate,Duplicate
"Save Profile","Save Profile"
Delete,Delete
"Edit Profile '%1'","Edit Profile '%1'"
"New Profile","New Profile"
"Category mapping","Category mapping"
"Scheduled tasks","Scheduled tasks"
"Images location","Images location"
"Use SFTP","Use SFTP"
no,no
yes,yes
"Use active mode","Use active mode"
Host,Host
Port,Port
Login,Login
Password,Password
"<a style='margin:10px; display:block;' href='javascript:MassStockUpdate.ftp.test(""%1"",""%2"")'>Test Connection</a>","<a style='margin:10px; display:block;' href='javascript:MassStockUpdate.ftp.test(""%1"",""%2"")'>Test Connection</a>"
"Path to images directory","Path to images directory"
Images,Images
"Profile Settings","Profile Settings"
"Profile name","Profile name"
"SQL mode","SQL mode"
Yes,Yes
No,No
"When SQL mode is enabled, no stocks are updated. Running the profile will only produce a SQL file. This file could be executed directly in your database manager","When SQL mode is enabled, no stocks are updated. Running the profile will only produce a SQL file. This file could be executed directly in your database manager"
"SQL file name","SQL file name"
"Name of the SQL file to generate.","Name of the SQL file to generate."
"SQL file path","SQL file path"
"Path where the SQL file will be generated (relative to Magento root folder).","Path where the SQL file will be generated (relative to Magento root folder)."
"File Location","File Location"
"File location","File location"
"Magento file system","Magento file system"
"Ftp server","Ftp server"
Url,Url
"Web service","Web service"
"From where to fetch the stock update file.<br/>","From where to fetch the stock update file.<br/>"
"- <b>Magento file system</b> : the file is located on the server where Magento is installed <i>(relative to Magento root Folder)</i><br/>","- <b>Magento file system</b> : the file is located on the server where Magento is installed <i>(relative to Magento root Folder)</i><br/>"
"- <b>Ftp server</b> : the file is located on a Ftp server<br/>","- <b>Ftp server</b> : the file is located on a Ftp server<br/>"
"- <b>Url</b> : the file is located on an external server, and it can be fetched using an external url <i>(eg : http://www.website.com/import.csv)</i><br/>","- <b>Url</b> : the file is located on an external server, and it can be fetched using an external url <i>(eg : http://www.website.com/import.csv)</i><br/>"
Directory,Directory
"<a style='margin:10px; display:block;' href='javascript:MassStockUpdate.ftp.test(""%1"")'>Test Connection</a>","<a style='margin:10px; display:block;' href='javascript:MassStockUpdate.ftp.test(""%1"")'>Test Connection</a>"
"Path to file","Path to file"
"- <b>Magento file system</b> : File path relative to Magento root folder</i><br/>","- <b>Magento file system</b> : File path relative to Magento root folder</i><br/>"
"- <b>Ftp server</b> : File path relative to ftp user root folder<br/>","- <b>Ftp server</b> : File path relative to ftp user root folder<br/>"
"- <b>Url</b> : Url of the file<br/>","- <b>Url</b> : Url of the file<br/>"
"- <b>Web service</b> : Url of the web service<br/>","- <b>Web service</b> : Url of the web service<br/>"
Parameters,Parameters
"File Type","File Type"
"File type","File type"
csv,csv
xml,xml
"Field delimiter","Field delimiter"
"Field enclosure","Field enclosure"
"Xpath to products","Xpath to products"
"xPath where the product data is stored in the XML file, e.g.:/catalog/products/product","xPath where the product data is stored in the XML file, e.g.:/catalog/products/product"
"Identifier Settings","Identifier Settings"
"Product identifier column number","Product identifier column number"
"Id of the column that contains the product identifier in the imported file (1st column is id 1)>","Id of the column that contains the product identifier in the imported file (1st column is id 1)>"
"Product Identifier type","Product Identifier type"
"Products to update must match the above unique identifier","Products to update must match the above unique identifier"
"Stock Settings","Stock Settings"
"Automatic stock status update","Automatic stock status update"
"Stock status will be automatically updated (in stock / out of stock)","Stock status will be automatically updated (in stock / out of stock)"
"Update / Import  method","Update / Import  method"
"Profile method","Profile method"
"Update products only","Update products only"
"Import new products only","Import new products only"
"Update products and import new products","Update products and import new products"
"Source file","Source file"
"Custom rules","Custom rules"
