

"./Block/Adminhtml/Manage/Edit.php",""

"Delete POS / Warehouse","Supprimer la Point de Vente / Entrepôt"
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Save POS / Warehouse","Enregistrer le Point de Vente / Entrepôt"


"./Block/Adminhtml/Manage/Edit/Tab/Address.php",""

"Address & Contact","Adresse & Contact"
"Address & Hours","Adresse & Heures d'ouverture"
"Address line 1","Ligne d'adresse 1"
"Address line 2","Ligne d'adresse 2"
"City","Ville"
"Country","Pays"
"Description","Description"
"Email","Email"
"Hours","Heures d'ouverture"
"Image","Image"
"Main phone","Téléphone"
"--Please select a state--","--Sélectionner un département--"
"Postal code","Code postal"
"State","Département"


"./Block/Adminhtml/Manage/Edit/Tab/Customergroups.php",""

"Customer Group","Groupe de Clients"
"Customer Group Selection","Séléction des groupes de clients"
"No Customer Group","Aucun groupe"


"./Block/Adminhtml/Manage/Edit/Tab/Main.php",""

"General Information","Information Générale"
"Latitude","Latitude"
"Longitude","Longitude"
"Name","Nom"
"Order of display","Priorité"
"Type of display","Type"
"Warehouse (not visible on the Gmap/checkout)","Entrepôt (Non visible sur la carte et le processus d'achat)"
"Point of Sales (visible on the Gmap/checkout)","Point de Vente (Visible sur la carte et le processus d'achat)"
"Find the coordinates with Google Map:","Trouver les coordonnées grace à Google Map:"


"./Block/Adminhtml/Manage/Edit/Tabs.php",""

"Point Of Sale","Point de Vente"


"./Block/Adminhtml/Manage/Edit/Tab/Storeviews.php",""

"No Store View","Aucun storeview"
"Store View","Storeview"
"Store Views Selection","Sélection des storeviews"


"./Block/Adminhtml/Manage/Grid.php",""

"Action","Action"
"Are you sure?","Êtes vous sûr ?"
"Customer Group selection","Groupes de clients"
"Delete","Supprimer"
"Id","Id"
"Order","Priorité"
"Status","Statut"
"Store","Magasin"
"Store view selection","Magasins"
"Warehouse (hidden)","Entrepôt (caché)"
"Point of Sales (visible)","Point de Vente (visible)"


"./Block/Adminhtml/Manage.php",""

"Create New Point Of Sale / Warehouse","Créer un nouveau point de Vente / entrepôt"
"Export a csv File","Exporter un fichier csv"
"Import a csv File","Importer un fichier csv"
"Import File","Importer"
"Points Of Sale / Warehouses","Points de Vente / Entrepôts"


"./Block/Adminhtml/Manage/Renderer/Action.php",""

"Are you sure you want to delete this pos / warehouse ?","Êtes vous sûr de vouloir supprimer le point de Vente / entrepôt ?"
"Delete","Supprimer"
"Edit","Modifier"


"./Block/Adminhtml/Manage/Renderer/Customergroup.php",""

"No Customer Group","Aucun groupe de clients"


"./Block/Adminhtml/Manage/Renderer/Hours.php",""

"Friday","Vendredi"
"Monday","Lundi"
"Saturday","Samedi"
"Sunday","Dimanche"
"Thursday","Jeudi"
"Tuesday","Mardi"
"Wednesday","Mercredi"


"./Block/Adminhtml/Manage/Renderer/Storeview.php",""

"No Store View","Aucun storeview"


"./Block/Pointofsale.php",""

"All countries","Tous les pays"
"All our store locations","Tous nos magasin"
"change my location","Changer ma localisation"
"Close","Fermer"
"Distance calculation failed","Le calcul de distance a échoué"
"Find me","Trouvez moi"
"From","Depuis"
"Get Directions","Obtenir la direction"
"No result found.","Aucun résultat trouvé."
"No store located","Aucun magasin trouvé"
"Print","Imprimer"
"Searching your location","Recherche votre localisation"
"Select a country","Sélectionner un pays"
"Set a new location","Sélectionner une nouvelle localisation"
"show my location","Afficher ma localisation"
"Show on Google Map","Afficher sur Google Map"
"The nearest store is","Le magasin le plus proche est"
"Unable to find your location","Impossible de trouver votre localisation"
"You are here","Vous etes ici"
"Your directions","Votre direction"
"Your location","Votre localisation"


"./Controller/Adminhtml/Manage/Edit.php",""

"Manage POS / WH","Gérer les Points de Vente / Entrepots"
