"Stay Connected", "Sign up for exclusive savings!"
"Create an Account", "Sign up"
"My Cart", "Cart"
"%1 is available to buy in increments of %2","Only sold in increments of %2"
"Manage Shopping Cart","Manage Shopping Cart"
"Are you sure you want to clear your cart?","Are you sure you want to clear your cart?"
"Clear my shopping cart","Clear my shopping cart"
"Add selections to my cart","Add selections to my cart"
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Add to Shopping Cart by SKU","Add to Shopping Cart by SKU"
"Add to Shopping Cart","Add to Shopping Cart"
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"Shopping Cart","Shopping Cart"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"You can\'t add this many to your cart.","You can\'t add this many to your cart."
"We can\'t add the item to your cart.","We can\'t add the item to your cart."
"We can\'t add a product to cart by id ""%1"".","We can\'t add a product to cart by id ""%1""."
"You added %1 product to your shopping cart.","You added %1 product to your shopping cart."
"You added %1 products to your shopping cart.","You added %1 products to your shopping cart."
"Shopping Cart Items","Shopping Cart Items"
"Add to Cart","Add to Cart"
"Shopping Cart Management","Shopping Cart Management"
"View Shopping Cart","View Shopping Cart"
"View and modify Shopping Cart","View and modify Shopping Cart"
"Related Cart Price Rules","Related Cart Price Rules"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Display on Shopping Cart","Display on Shopping Cart"
"We can\'t add this item to your shopping cart right now.","We can\'t add this item to your shopping cart right now."
"Customize and Add to Cart","Customize and Add to Cart"
"We can\'t add the product to the cart because of an option validation issue.","We can\'t add the product to the cart because of an option validation issue."
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart."
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Check items to add to the cart or","Check items to add to the cart or"
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                "
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"Allow Adding to Cart","Allow Adding to Cart"
"My Cart (1 item)","My Cart (1 item)"
"My Cart (%1 items)","My Cart (%1 items)"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"We can\'t add this item to your shopping cart right now.","We can\'t add this item to your shopping cart right now."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We can\'t update the shopping cart.","We can\'t update the shopping cart."
"Display number of items in cart","Display number of items in cart"
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Shopping Cart Items","Shopping Cart Items"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
"Update Cart","Update Cart"
"You have no items in your shopping cart.","You have no items in your shopping cart."
